YR_M,Queens Precinct,QUEENS_precinct_Crime_Cnt
2016-02,109.0,568
2016-02,110.0,479
2016-02,111.0,240
2016-02,112.0,240
2016-02,113.0,566
2016-02,114.0,683
2016-02,115.0,583
2016-03,100.0,210
2016-03,101.0,405
2016-03,102.0,451
2016-03,103.0,608
2016-03,104.0,511
2016-03,105.0,594
2016-03,106.0,478
2016-03,107.0,410
2016-03,108.0,340
2016-03,109.0,590
2016-03,110.0,564
2016-03,111.0,222
2016-03,112.0,280
2016-03,113.0,635
2016-03,114.0,758
2016-03,115.0,614
2016-04,100.0,207
2016-04,101.0,389
2016-04,102.0,432
2016-04,103.0,644
2016-04,104.0,527
2016-04,105.0,594
2016-04,106.0,459
2016-04,107.0,405
2016-04,108.0,350
2016-04,109.0,639
2016-04,110.0,556
2016-04,111.0,252
2016-04,112.0,241
2016-04,113.0,664
2016-04,114.0,716
2016-04,115.0,651
2016-05,100.0,258
2016-05,101.0,420
2016-05,102.0,513
2016-05,103.0,616
2016-05,104.0,575
2016-05,105.0,622
2016-05,106.0,597
2016-05,107.0,378
2016-05,108.0,386
2016-05,109.0,710
2016-05,110.0,661
2016-05,111.0,249
2016-05,112.0,257
2016-05,113.0,686
2016-05,114.0,780
2016-05,115.0,680
2016-06,100.0,301
2016-06,101.0,413
2016-06,102.0,500
2016-06,103.0,628
2016-06,104.0,605
2016-06,105.0,653
2016-06,106.0,465
2016-06,107.0,390
2016-06,108.0,415
2016-06,109.0,673
2016-06,110.0,516
2016-06,111.0,226
2016-06,112.0,270
2016-06,113.0,818
2016-06,114.0,809
2016-06,115.0,631
2016-07,100.0,350
2016-07,101.0,426
2016-07,102.0,543
2016-07,103.0,688
2016-07,104.0,484
2016-07,105.0,651
2016-07,106.0,520
2016-07,107.0,364
2016-07,108.0,400
2016-07,109.0,731
2016-07,110.0,548
2016-07,111.0,210
2016-07,112.0,254
2016-07,113.0,807
2016-07,114.0,819
2016-07,115.0,708
2016-08,100.0,285
2016-08,101.0,451
2016-08,102.0,502
2016-08,103.0,657
2016-08,104.0,516
2016-08,105.0,585
2016-08,106.0,503
2016-08,107.0,402
2016-08,108.0,419
2016-08,109.0,679
2016-08,110.0,548
2016-08,111.0,260
2016-08,112.0,273
2016-08,113.0,688
2016-08,114.0,777
2016-08,115.0,731
2016-09,100.0,256
2016-09,101.0,400
2016-09,102.0,500
2016-09,103.0,625
2016-09,104.0,483
2016-09,105.0,559
2016-09,106.0,430
2016-09,107.0,321
2016-09,108.0,404
2016-09,109.0,690
2016-09,110.0,509
2016-09,111.0,233
2016-09,112.0,254
2016-09,113.0,669
2016-09,114.0,755
2016-09,115.0,681
2016-10,100.0,255
2016-10,101.0,386
2016-10,102.0,516
2016-10,103.0,586
2016-10,104.0,466
2016-10,105.0,560
2016-10,106.0,467
2016-10,107.0,417
2016-10,108.0,393
2016-10,109.0,717
2016-10,110.0,606
2016-10,111.0,256
2016-10,112.0,243
2016-10,113.0,678
2016-10,114.0,827
2016-10,115.0,680
2016-11,100.0,208
2016-11,101.0,345
2016-11,102.0,449
2016-11,103.0,507
2016-11,104.0,493
2016-11,105.0,554
2016-11,106.0,439
2016-11,107.0,366
2016-11,108.0,358
2016-11,109.0,727
2016-11,110.0,492
2016-11,111.0,258
2016-11,112.0,257
2016-11,113.0,627
2016-11,114.0,738
2016-11,115.0,611
2016-12,100.0,188
2016-12,101.0,333
2016-12,102.0,461
2016-12,103.0,532
2016-12,104.0,477
2016-12,105.0,609
2016-12,106.0,453
2016-12,107.0,401
2016-12,108.0,353
2016-12,109.0,752
2016-12,110.0,492
2016-12,111.0,250
2016-12,112.0,250
2016-12,113.0,558
2016-12,114.0,760
2016-12,115.0,642
2017-01,100.0,200
2017-01,101.0,359
2017-01,102.0,402
2017-01,103.0,567
2017-01,104.0,512
2017-01,105.0,535
2017-01,106.0,480
2017-01,107.0,436
2017-01,108.0,358
2017-01,109.0,677
2017-01,110.0,451
2017-01,111.0,290
2017-01,112.0,227
2017-01,113.0,564
2017-01,114.0,761
2017-01,115.0,683
2017-02,100.0,174
2017-02,101.0,289
2017-02,102.0,305
2017-02,103.0,471
2017-02,104.0,398
2017-02,105.0,439
2017-02,106.0,413
2017-02,107.0,345
2017-02,108.0,340
2017-02,109.0,667
2017-02,110.0,416
2017-02,111.0,191
2017-02,112.0,227
2017-02,113.0,509
2017-02,114.0,686
2017-02,115.0,587
2017-03,100.0,237
2017-03,101.0,331
2017-03,102.0,392
2017-03,103.0,540
2017-03,104.0,471
2017-03,105.0,541
2017-03,106.0,403
2017-03,107.0,382
2017-03,108.0,363
2017-03,109.0,602
2017-03,110.0,451
2017-03,111.0,206
2017-03,112.0,260
2017-03,113.0,553
2017-03,114.0,680
2017-03,115.0,631
2017-04,100.0,199
2017-04,101.0,357
2017-04,102.0,374
2017-04,103.0,528
2017-04,104.0,508
2017-04,105.0,570
2017-04,106.0,420
2017-04,107.0,375
2017-04,108.0,384
2017-04,109.0,638
2017-04,110.0,498
2017-04,111.0,202
2017-04,112.0,256
2017-04,113.0,607
2017-04,114.0,740
2017-04,115.0,750
2017-05,100.0,218
2017-05,101.0,421
2017-05,102.0,475
2017-05,103.0,583
2017-05,104.0,502
2017-05,105.0,584
2017-05,106.0,443
2017-05,107.0,403
2017-05,108.0,411
2017-05,109.0,702
2017-05,110.0,563
2017-05,111.0,222
2017-05,112.0,268
2017-05,113.0,616
2017-05,114.0,738
2017-05,115.0,664
2017-06,100.0,260
2017-06,101.0,384
2017-06,102.0,406
2017-06,103.0,573
2017-06,104.0,540
2017-06,105.0,643
2017-06,106.0,518
2017-06,107.0,368
2017-06,108.0,395
2017-06,109.0,616
2017-06,110.0,547
2017-06,111.0,238
2017-06,112.0,275
2017-06,113.0,713
2017-06,114.0,714
2017-06,115.0,693
2017-07,100.0,302
2017-07,101.0,395
2017-07,102.0,480
2017-07,103.0,644
2017-07,104.0,568
2017-07,105.0,617
2017-07,106.0,538
2017-07,107.0,414
2017-07,108.0,436
2017-07,109.0,709
2017-07,110.0,613
2017-07,111.0,211
2017-07,112.0,264
2017-07,113.0,663
2017-07,114.0,789
2017-07,115.0,714
2017-08,100.0,259
2017-08,101.0,375
2017-08,102.0,447
2017-08,103.0,574
2017-08,104.0,564
2017-08,105.0,622
2017-08,106.0,524
2017-08,107.0,393
2017-08,108.0,439
2017-08,109.0,734
2017-08,110.0,644
2017-08,111.0,205
2017-08,112.0,290
2017-08,113.0,575
2017-08,114.0,695
2017-08,115.0,718
2017-09,100.0,233
2017-09,101.0,368
2017-09,102.0,397
2017-09,103.0,546
2017-09,104.0,504
2017-09,105.0,575
2017-09,106.0,492
2017-09,107.0,402
2017-09,108.0,416
2017-09,109.0,720
2017-09,110.0,522
2017-09,111.0,192
2017-09,112.0,287
2017-09,113.0,626
2017-09,114.0,690
2017-09,115.0,711
2017-10,100.0,214
2017-10,101.0,359
2017-10,102.0,456
2017-10,103.0,563
2017-10,104.0,505
2017-10,105.0,570
2017-10,106.0,494
2017-10,107.0,407
2017-10,108.0,430
2017-10,109.0,748
2017-10,110.0,513
2017-10,111.0,218
2017-10,112.0,272
2017-10,113.0,622
2017-10,114.0,705
2017-10,115.0,701
2017-11,100.0,188
2017-11,101.0,328
2017-11,102.0,370
2017-11,103.0,525
2017-11,104.0,436
2017-11,105.0,542
2017-11,106.0,482
2017-11,107.0,392
2017-11,108.0,402
2017-11,109.0,640
2017-11,110.0,452
2017-11,111.0,191
2017-11,112.0,255
2017-11,113.0,551
2017-11,114.0,679
2017-11,115.0,604
2017-12,100.0,199
2017-12,101.0,320
2017-12,102.0,325
2017-12,103.0,488
2017-12,104.0,450
2017-12,105.0,486
2017-12,106.0,456
2017-12,107.0,319
2017-12,108.0,301
2017-12,109.0,660
2017-12,110.0,444
2017-12,111.0,163
2017-12,112.0,235
2017-12,113.0,529
2017-12,114.0,558
2017-12,115.0,568
